id,external_id,title,task_type,status,priority,project_id,developer_id,estimated_hours,actual_hours,reopen_count,comments_count,created_date,completed_date
1,APP-101,Player movement system,feature,done,high,1,1,40,38,0,5,2025-03-05,2025-03-15
2,APP-102,Inventory UI design,feature,done,medium,1,2,24,35,2,12,2025-03-10,2025-03-25
3,APP-103,Bug: crash on level load,bug,done,critical,1,3,8,22,3,18,2025-03-12,2025-03-28
4,APP-104,Multiplayer lobby,feature,in_progress,high,1,1,60,72,1,15,2025-04-01,
5,APP-105,Sound effects integration,feature,done,low,1,21,16,14,0,3,2025-04-05,2025-04-12
6,APP-201,Combat system prototype,feature,done,critical,2,4,80,95,1,20,2025-01-20,2025-03-01
7,APP-202,Character animation,feature,done,high,2,5,48,52,0,8,2025-02-01,2025-02-28
8,APP-203,Network synchronization,feature,in_progress,critical,2,6,64,110,4,35,2025-02-15,
9,APP-204,Bug: texture loading,bug,done,high,2,23,12,28,2,14,2025-03-01,2025-03-20
10,APP-205,AI pathfinding,feature,done,medium,2,26,32,30,0,6,2025-03-10,2025-03-28
11,APP-301,User authentication,feature,done,high,3,7,20,18,0,4,2024-06-10,2024-06-25
12,APP-302,Dashboard module,feature,done,high,3,8,40,42,1,7,2024-07-01,2024-07-25
13,APP-303,Report generation,feature,done,medium,3,9,32,30,0,5,2024-08-01,2024-08-20
14,APP-304,Performance optimization,improvement,done,medium,3,20,24,20,0,3,2024-09-01,2024-09-15
15,APP-305,Security audit fixes,bug,done,critical,3,7,16,15,0,8,2024-10-01,2024-10-12
16,APP-401,Onboarding flow,feature,done,high,4,10,32,45,2,16,2025-02-05,2025-03-05
17,APP-402,Payment integration,feature,done,critical,4,11,40,62,3,25,2025-02-15,2025-04-01
18,APP-403,Push notifications,feature,done,medium,4,12,16,24,1,10,2025-03-01,2025-03-20
19,APP-404,Restaurant search UI,feature,in_progress,high,4,13,24,38,2,20,2025-03-15,
20,APP-405,API synchronization,improvement,in_progress,medium,4,22,20,35,1,12,2025-04-01,
21,APP-501,Product catalog,feature,done,high,5,14,36,34,0,6,2024-11-10,2024-12-05
22,APP-502,Shopping cart,feature,done,high,5,15,28,30,1,8,2024-12-01,2024-12-25
23,APP-503,Checkout flow,feature,done,critical,5,16,40,38,0,5,2025-01-05,2025-01-30
24,APP-504,Search & filters,feature,done,medium,5,24,20,22,0,4,2025-02-01,2025-02-18
25,APP-505,Admin panel,feature,in_progress,medium,5,14,32,28,0,6,2025-03-01,
26,APP-601,Lead management,feature,in_progress,high,6,17,40,35,0,7,2025-04-05,
27,APP-602,Email campaigns,feature,open,medium,6,18,32,,0,2,2025-04-15,
28,APP-603,Analytics dashboard,feature,open,high,6,25,48,,0,3,2025-05-01,
29,APP-604,API integrations,feature,in_progress,medium,6,19,24,20,0,4,2025-04-20,
30,APP-701,Workout tracker,feature,in_progress,high,7,11,28,22,0,5,2025-05-05,
31,APP-702,Nutrition planner,feature,open,medium,7,12,36,,0,2,2025-05-10,
32,APP-703,Social features,feature,open,low,7,22,20,,0,1,2025-05-15,
33,APP-801,Property listings,feature,done,high,8,14,32,30,0,5,2024-09-10,2024-10-05
34,APP-802,Search with map,feature,done,high,8,15,24,35,2,15,2024-10-01,2024-11-01
35,APP-803,Agent dashboard,feature,done,medium,8,24,28,26,0,4,2024-11-01,2024-11-25
36,APP-804,Virtual tours,feature,done,high,8,16,48,75,3,22,2024-12-01,2025-02-15
37,APP-901,Warehouse module,feature,done,high,9,7,36,33,0,6,2025-01-10,2025-02-10
38,APP-902,Order tracking,feature,done,medium,9,8,24,22,0,4,2025-02-01,2025-02-20
39,APP-903,Reporting system,feature,in_progress,medium,9,27,32,28,0,5,2025-03-01,
40,APP-904,Barcode scanning,feature,done,high,9,9,20,25,1,8,2025-03-15,2025-04-05
41,APP-1001,Race track builder,feature,done,high,10,28,48,45,0,7,2024-04-10,2024-05-25
42,APP-1002,Car physics engine,feature,done,critical,10,1,64,85,2,18,2024-05-01,2024-07-15
43,APP-1003,Garage system,feature,done,medium,10,2,28,30,1,6,2024-07-01,2024-07-30
44,APP-1004,Online leaderboards,feature,done,medium,10,3,20,32,2,14,2024-08-01,2024-09-15
45,APP-1005,Bug: memory leak,bug,done,critical,10,28,16,48,4,28,2024-09-01,2024-11-15
46,APP-1101,Course builder,feature,in_progress,high,11,17,40,32,0,6,2025-03-20,
47,APP-1102,Student dashboard,feature,open,medium,11,18,28,,0,3,2025-04-01,
48,APP-1103,Quiz engine,feature,open,high,11,29,32,,0,2,2025-04-15,
49,APP-1201,Chat core,feature,done,critical,12,10,40,38,0,8,2025-02-05,2025-03-01
50,APP-1202,File sharing,feature,done,medium,12,13,20,28,1,10,2025-03-01,2025-03-25
51,APP-1203,Group chats,feature,in_progress,high,12,11,32,55,3,22,2025-03-15,
52,APP-1301,VR environment,feature,in_progress,critical,13,4,80,60,0,10,2025-06-05,
53,APP-1302,3D model loading,feature,open,high,13,5,48,,0,4,2025-06-15,
54,APP-1303,Tour navigation,feature,open,medium,13,23,36,,0,2,2025-07-01,
55,APP-1401,Account management,feature,done,high,14,20,32,28,0,5,2025-01-20,2025-02-15
56,APP-1402,Transaction view,feature,done,high,14,7,28,30,1,7,2025-02-01,2025-02-28
57,APP-1403,Security module,feature,done,critical,14,27,40,38,0,9,2025-03-01,2025-03-30
58,APP-1404,Compliance reporting,feature,in_progress,high,14,8,36,32,0,6,2025-04-01,
59,APP-1501,User profiles,feature,done,high,15,14,24,22,0,4,2024-12-10,2025-01-05
60,APP-1502,Feed algorithm,feature,done,critical,15,15,48,68,2,18,2025-01-05,2025-03-01
61,APP-1503,Messaging system,feature,in_progress,high,15,24,36,42,1,12,2025-02-01,
62,APP-1504,Content moderation,feature,in_progress,medium,15,30,28,35,1,9,2025-03-01,
63,APP-1601,Route optimization,feature,in_progress,critical,16,17,48,42,0,8,2025-03-05,
64,APP-1602,Driver management,feature,done,high,16,25,32,30,0,5,2025-03-15,2025-04-10
65,APP-1603,Real-time tracking,feature,in_progress,high,16,18,40,52,2,16,2025-04-01,
66,APP-1604,Bug: GPS accuracy,bug,open,high,16,19,12,,1,6,2025-04-20,
67,APP-1701,AR world mapping,feature,in_progress,critical,17,28,56,48,0,9,2025-04-20,
68,APP-1702,POI detection,feature,open,high,17,21,32,,0,3,2025-05-01,
69,APP-1703,Navigation UI,feature,open,medium,17,2,24,,0,2,2025-05-10,
70,APP-1801,Room booking,feature,done,high,18,14,28,26,0,5,2025-02-20,2025-03-15
71,APP-1802,Review system,feature,done,medium,18,15,20,22,0,4,2025-03-01,2025-03-20
72,APP-1803,Payment gateway,feature,done,critical,18,24,36,55,3,20,2025-03-15,2025-05-01
73,APP-1804,Search optimization,improvement,in_progress,medium,18,16,16,14,0,3,2025-04-01,
